team;transfermarkt_id;shirt_number;player_name;position;birth_date;age;club;height_cm;foot;international_caps;international_goals;debut_date;market_value;transfermarkt_url
Spagna;962110;22;Pau Cubarsí;Difensore centrale;22/01/2007;19;FC Barcellona;1,83m;destro;11;-;22/03/2024;80,00 mln €;https://www.transfermarkt.com/pau-cubarsi/profil/spieler/962110
Spagna;262396;23;Unai Simón;Portiere;11/06/1997;28;Athletic Bilbao;1,90m;destro;57;-;11/11/2020;22,00 mln €;https://www.transfermarkt.com/unai-simon/profil/spieler/262396
Spagna;284857;24;Marc Cucurella;Terzino sinistro;22/07/1998;27;Chelsea FC;1,73m;sinistro;23;1;08/06/2021;50,00 mln €;https://www.transfermarkt.com/marc-cucurella/profil/spieler/284857
Spagna;935231;25;Víctor Muñoz;Ala sinistra;13/07/2003;22;CA Osasuna;1,73m;destro;2;1;27/03/2026;30,00 mln €;https://www.transfermarkt.com/victor-munoz/profil/spieler/935231
Spagna;278359;26;Borja Iglesias;Punta centrale;17/01/1993;33;Celta de Vigo;1,87m;destro;7;-;24/09/2022;2,80 mln €;https://www.transfermarkt.com/borja-iglesias/profil/spieler/278359
Stati Uniti;425306;1;Matt Turner;Portiere;24/06/1994;31;New England Revolution;1,90m;destro;54;-;01/02/2021;2,50 mln €;https://www.transfermarkt.com/matt-turner/profil/spieler/425306
Stati Uniti;361104;2;Sergiño Dest;Terzino destro;03/11/2000;25;PSV Eindhoven;1,73m;destro;38;3;07/09/2019;18,00 mln €;https://www.transfermarkt.com/sergino-dest/profil/spieler/361104
Stati Uniti;578539;3;Chris Richards;Difensore centrale;28/03/2000;26;Crystal Palace;1,89m;destro;36;3;16/11/2020;28,00 mln €;https://www.transfermarkt.com/chris-richards/profil/spieler/578539
Stati Uniti;332705;4;Tyler Adams;Mediano;14/02/1999;27;AFC Bournemouth;1,75m;destro;54;2;14/11/2017;25,00 mln €;https://www.transfermarkt.com/tyler-adams/profil/spieler/332705
Stati Uniti;349701;5;Antonee Robinson;Terzino sinistro;08/08/1997;28;FC Fulham;1,83m;sinistro;53;4;29/05/2018;22,00 mln €;https://www.transfermarkt.com/antonee-robinson/profil/spieler/349701
Stati Uniti;389253;6;Auston Trusty;Difensore centrale;12/08/1998;27;Celtic Glasgow;1,90m;sinistro;7;-;25/03/2023;6,00 mln €;https://www.transfermarkt.com/auston-trusty/profil/spieler/389253
Stati Uniti;504215;7;Giovanni Reyna;Trequartista;13/11/2002;23;Borussia Mönchengladbach;1,87m;destro;37;9;12/11/2020;4,00 mln €;https://www.transfermarkt.com/giovanni-reyna/profil/spieler/504215
Stati Uniti;332697;8;Weston McKennie;Centrocampista;28/08/1998;27;Juventus FC;1,80m;destro;65;12;14/11/2017;30,00 mln €;https://www.transfermarkt.com/weston-mckennie/profil/spieler/332697
Stati Uniti;627207;9;Ricardo Pepi;Punta centrale;09/01/2003;23;PSV Eindhoven;1,85m;destro;36;13;09/09/2021;30,00 mln €;https://www.transfermarkt.com/ricardo-pepi/profil/spieler/627207
Stati Uniti;315779;10;Christian Pulisic;Ala destra;18/09/1998;27;AC Milan;1,77m;destro;86;33;30/03/2016;40,00 mln €;https://www.transfermarkt.com/christian-pulisic/profil/spieler/315779
Stati Uniti;393323;11;Brenden Aaronson;Trequartista;22/10/2000;25;Leeds United;1,77m;destro;57;9;01/02/2020;22,00 mln €;https://www.transfermarkt.com/brenden-aaronson/profil/spieler/393323
Stati Uniti;468022;12;Miles Robinson;Difensore centrale;14/03/1997;29;FC Cincinnati;1,87m;destro;40;3;07/09/2019;3,50 mln €;https://www.transfermarkt.com/miles-robinson/profil/spieler/468022
Stati Uniti;145466;13;Tim Ream;Difensore centrale;05/10/1987;38;Charlotte FC;1,86m;sinistro;81;1;17/11/2010;150 mila €;https://www.transfermarkt.com/tim-ream/profil/spieler/145466
Stati Uniti;734761;14;Sebastian Berhalter;Centrocampista;10/05/2001;25;Vancouver Whitecaps FC;1,75m;destro;12;1;11/06/2025;8,00 mln €;https://www.transfermarkt.com/sebastian-berhalter/profil/spieler/734761
Stati Uniti;354792;15;Cristian Roldán;Centrocampista;03/06/1995;31;Seattle Sounders FC;1,73m;destro;46;-;13/07/2017;3,50 mln €;https://www.transfermarkt.com/cristian-roldan/profil/spieler/354792
